FID,GlobalID,Type,SubType,Name,Orig_Name,Source,Province,Prov_Code,District,Distr_Code,LAT,LONG,Data_year,x,y
933,36LUK350188_002,School Affiliated Infrastructure,Teachers Compound,Kabvumbe a Teachers Compound A,kabvumbe teachers comp a,ZamStats,Eastern,103,Petauke,103007,-14.2973588297,31.4703047297,2010,31.4703047296796,-14.2973588297461
934,36LUK350189_001,School Affiliated Infrastructure,Teachers Compound,Kabvumbe Teachers Compound B,kabvumbe teachers comp b,ZamStats,Eastern,103,Petauke,103007,-14.2963690998,31.4706556802,2010,31.4706556802155,-14.2963690997541
935,36LUK300123_001,School,Community School,Kamwankhuku Community School,kamwankhuku com sch,ZamStats,Eastern,103,Petauke,103007,-14.35550728,31.4237896099,2010,31.4237896099026,-14.3555072800369
936,36LUK407183_002,School,Community School,Matula Community School,matula com sch,ZamStats,Eastern,103,Sinda,103008,-14.3018716503,31.5230958799,2010,31.523095879871,-14.3018716502564
937,36LUK341105_002,School,Basic School,Kaombwe Basic School,kaombwe basic sch,ZamStats,Eastern,103,Petauke,103007,-14.3718391698,31.4615055703,2010,31.4615055703259,-14.3718391698418
938,36LUK255250_001,School,Community School,Chandema Community School,chandema com sch,ZamStats,Eastern,103,Petauke,103007,-14.2403566104,31.3828086401,2010,31.3828086401067,-14.2403566103692
939,36LUK254306_001,School,Basic School,Chilimanyama Basic School,chilimanyama basic sch,ZamStats,Eastern,103,Petauke,103007,-14.1902270397,31.3820554399,2010,31.3820554399067,-14.190227039746
940,36LUK255301_001,School,Community School,Chilimanyama Community School,chilimanyama com sch,ZamStats,Eastern,103,Petauke,103007,-14.1947497501,31.3829663902,2010,31.3829663901868,-14.1947497501009
941,36LUK341344_001,School,Community School,Lukasi Community School,lukasi com sch,ZamStats,Eastern,103,Petauke,103007,-14.1562704496,31.4630212697,2010,31.4630212697159,-14.1562704496215
942,36LUK253367_002,School,Community School,Cheuka Community School,cheuka com sch,ZamStats,Eastern,103,Petauke,103007,-14.1351669099,31.3821705199,2010,31.3821705198537,-14.1351669099249
943,36LUK280216_001,College,College,Covenant College,covenant college,ZamStats,Eastern,103,Petauke,103007,-14.2714045196,31.4059416898,2010,31.4059416897572,-14.2714045196029
944,36LUK258196_002,School,Basic School,Kawele Basic School,kawele basic sch,ZamStats,Eastern,103,Petauke,103007,-14.2892071796,31.3851342797,2010,31.3851342797233,-14.2892071795677
945,36LUK342294_002,School,Basic School,Luamphande Basic School,luamphande basic sch,ZamStats,Eastern,103,Petauke,103007,-14.2016974302,31.4643337997,2010,31.4643337996652,-14.2016974301922
946,36LUK350229_001,School,Basic School,Mngoza Basic School,mngoza basic sch,ZamStats,Eastern,103,Petauke,103007,-14.2605264002,31.4707079002,2010,31.4707079002495,-14.2605264001732
947,36LUK296403_001,School,Basic School,Msanzara Basic School,msanzara basic sch,ZamStats,Eastern,103,Petauke,103007,-14.1029295196,31.4216266603,2010,31.4216266603422,-14.1029295195816
948,36LUK114445_001,School,Basic School,Mwanza Basic School,mwanza basic sch,ZamStats,Eastern,103,Petauke,103007,-14.0638171297,31.2541146598,2010,31.2541146597638,-14.0638171296567
949,36LUK119365_002,School Affiliated Infrastructure,School Compound,Mwambula shamatala School Compound,sch house,ZamStats,Eastern,103,Petauke,103007,-14.1360739203,31.2577226499,2010,31.2577226498805,-14.1360739202752
950,36LUK114444_002,School Affiliated Infrastructure,Teachers Compound,Mwanza Teachers Compound,teachers comp,ZamStats,Eastern,103,Petauke,103007,-14.0639930703,31.2533477098,2010,31.253347709829,-14.0639930703239
951,36LUK098492_001,School,Community School,Chipande Community School,chipande com sch,ZamStats,Eastern,103,Petauke,103007,-14.0208616399,31.2392823796,2010,31.2392823795782,-14.0208616398527
952,36LUK118365_001,School,School,Mwambula shamatala School,mwambula shamatala sch,ZamStats,Eastern,103,Petauke,103007,-14.1357185199,31.25673283,2010,31.2567328299562,-14.1357185198937
953,36LUK225469_001,School,Basic School,Chikuse Basic School,chikuse basic sch,ZamStats,Eastern,103,Petauke,103007,-14.0428042902,31.3569708398,2010,31.3569708398325,-14.0428042901858
954,36LUK224521_001,School,Community School,Chisala Community School,chisala comm sch,ZamStats,Eastern,103,Petauke,103007,-13.9954923801,31.3565522396,2010,31.3565522395942,-13.9954923800693
955,36LUK221428_001,School,Basic School,Kalumbi Basic School,kalumbi mb sch,ZamStats,Eastern,103,Petauke,103007,-14.0799263096,31.3528139998,2010,31.3528139997663,-14.0799263095515
956,36LUK227467_002,School,High School,Monde High School,monde day high sch,ZamStats,Eastern,103,Petauke,103007,-14.04467932,31.3585261004,2010,31.3585261003993,-14.0446793199946
957,36LUK226467_001,School Affiliated Infrastructure,Teachers Compound,Teachers Compound,teachers houses,ZamStats,Eastern,103,Petauke,103007,-14.0442539398,31.3578590696,2010,31.3578590696404,-14.0442539397675
958,36LUK205770_001,School,School,Chikowa School,chikowa sch,ZamStats,Eastern,103,Lusangazi,103014,-13.7702537103,31.33970814,2010,31.3397081400187,-13.7702537103404
959,36LUK263524_001,School,Community School,Ndambwe Community School,ndambwe comm sch,ZamStats,Eastern,103,Petauke,103007,-13.9934382296,31.3919159998,2010,31.3919159998236,-13.9934382295906
960,36LUK207766_001,School,School,New chikowa School,new chikowa sch site,ZamStats,Eastern,103,Lusangazi,103014,-13.7739072196,31.3417799802,2010,31.341779980162,-13.7739072196424
961,36LUK262524_001,School Affiliated Infrastructure,Teachers Compound,Ndambwe Teachers Compound,teachers house,ZamStats,Eastern,103,Petauke,103007,-13.9926268603,31.3914630401,2010,31.3914630400873,-13.9926268603413
962,36LUK169469_001,School,Basic School,Mzenje Basic School,mzenje m b sch,ZamStats,Eastern,103,Petauke,103007,-14.0426365702,31.3050466199,2010,31.3050466199056,-14.0426365702215
963,36LUK169468_002,School Affiliated Infrastructure,Teachers Compound,Mzenje Teachers Compound,mzenje teach houses,ZamStats,Eastern,103,Petauke,103007,-14.0426706797,31.3046398502,2010,31.3046398502489,-14.0426706797081
964,36LUK165539_001,School,Basic School,Sasu Basic School,sasu m b sch,ZamStats,Eastern,103,Petauke,103007,-13.9786559103,31.3013817198,2010,31.3013817197906,-13.978655910342
965,36LUK206549_002,School,Basic School,Kasuma Basic School,kasuma basic sch,ZamStats,Eastern,103,Petauke,103007,-13.9700663002,31.3395835803,2010,31.339583580318,-13.9700663002195
966,36LUK216584_001,School,Community School,Singozi Community School,singozi com sch,ZamStats,Eastern,103,Lusangazi,103014,-13.9384122102,31.3494412004,2010,31.3494412003512,-13.9384122101553
967,36LUK083277_002,School,Basic School,Nyampande Basic School,nyampande basic sch,ZamStats,Eastern,103,Petauke,103007,-14.2152456799,31.2237748497,2010,31.2237748497296,-14.2152456799441
