ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZMB,348706,Assistance during delivery: No one,7.6,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_NON,83606080,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACNON,,1992,DHS,2774,2791,,,
ZMB,834684,Assistance during delivery: don't know or missing,0.1,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_DKM,83606090,S,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACDKM,,1992,DHS,4064,4074,,,
ZMB,49331,Assistance during delivery: don't know or missing,0.2,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_DKM,83606090,S,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACDKM,,1992,DHS,6279,6299,,,
ZMB,348702,Assistance during delivery: don't know or missing,0.1,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_DKM,83606090,S,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACDKM,,1992,DHS,2774,2791,,,
ZMB,834687,Assistance during delivery: Total,100,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_TOT,83606100,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACTOT,,1992,DHS,4064,4074,,,
ZMB,49344,Assistance during delivery: Total,100,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_TOT,83606100,T,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACTOT,,1992,DHS,6279,6299,,,
ZMB,348680,Assistance during delivery: Total,100,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_TOT,83606100,T,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACTOT,,1992,DHS,2774,2791,,,
ZMB,834678,Assistance during delivery from a skilled provider,49.7,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACSKP,,1992,DHS,4064,4074,,,
ZMB,49349,Assistance during delivery from a skilled provider,49.8,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACSKP,,1992,DHS,6279,6299,,,
ZMB,348681,Assistance during delivery from a skilled provider,49.1,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACSKP,,1992,DHS,2774,2791,,,
ZMB,834679,Delivery by cesarean section,2.7,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_CSC,83606120,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACCSC,,1992,DHS,4064,4074,,,
ZMB,49350,Delivery by cesarean section,2.6,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_CSC,83606120,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACCSC,,1992,DHS,6279,6299,,,
