system:index,district,month,temperature_c,year,.geo
000000000000000007d7_0_0,Eastern,1.0,27.48727681563912,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_1,Eastern,2.0,27.837913184961245,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_2,Eastern,3.0,27.1373341356649,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_3,Eastern,4.0,26.06168946951116,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_4,Eastern,5.0,27.157204755036854,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_5,Eastern,6.0,25.20917529344746,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_6,Eastern,7.0,27.34543855184113,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_7,Eastern,8.0,32.86018146475728,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_8,Eastern,9.0,38.800643385184216,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_9,Eastern,10.0,42.190215656055024,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_10,Eastern,11.0,39.551657821344115,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_11,Eastern,12.0,33.132120400201735,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_0,Eastern,1.0,27.488333437755433,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_1,Eastern,2.0,27.231474428896068,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_2,Eastern,3.0,26.000163620602017,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_3,Eastern,4.0,26.441603298179068,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_4,Eastern,5.0,27.585975693104025,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_5,Eastern,6.0,27.37221600201542,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_6,Eastern,7.0,27.773197746517553,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_7,Eastern,8.0,32.17471025297954,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_8,Eastern,9.0,38.639943631677,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_9,Eastern,10.0,40.761996944728814,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_10,Eastern,11.0,38.19900857482869,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_11,Eastern,12.0,34.36552530256176,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_2_0,Eastern,1.0,28.635415481973425,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_2_1,Eastern,2.0,29.276493708353563,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_2_2,Eastern,3.0,27.170349332058418,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_2_3,Eastern,4.0,28.00430146894461,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_2_4,Eastern,5.0,26.877897498050984,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_2_5,Eastern,6.0,26.671378901277354,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_2_6,Eastern,7.0,28.286823521760116,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_2_7,Eastern,8.0,31.32691385647596,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_2_8,Eastern,9.0,37.42940938328214,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_2_9,Eastern,10.0,40.56910572454796,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_2_10,Eastern,11.0,36.072754871511265,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_2_11,Eastern,12.0,34.58708725150386,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_3_0,Eastern,1.0,29.056829748080432,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_3_1,Eastern,2.0,26.524101067803333,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_3_2,Eastern,3.0,25.23850122571625,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_3_3,Eastern,4.0,26.03308184820729,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_3_4,Eastern,5.0,24.705642796319896,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_3_5,Eastern,6.0,24.69751004140177,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_3_6,Eastern,7.0,24.627025151758428,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_3_7,Eastern,8.0,29.00370777465888,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_3_8,Eastern,9.0,34.48526029559284,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_3_9,Eastern,10.0,38.36919170806574,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_3_10,Eastern,11.0,34.34888336257567,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_3_11,Eastern,12.0,27.956026212259317,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_0_0,Luapula,1.0,24.22674954716351,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_0_1,Luapula,2.0,24.818887382367922,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_0_2,Luapula,3.0,25.61610780467512,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_0_3,Luapula,4.0,24.678092931721828,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_0_4,Luapula,5.0,24.795306673887097,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_0_5,Luapula,6.0,22.941092168289416,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_0_6,Luapula,7.0,24.17356286402567,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_0_7,Luapula,8.0,28.744142141427428,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_0_8,Luapula,9.0,34.00681894129557,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_0_9,Luapula,10.0,35.0269014838941,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_0_10,Luapula,11.0,29.800435301492268,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_0_11,Luapula,12.0,26.380619022759692,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_1_0,Luapula,1.0,25.27352560161485,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_1_1,Luapula,2.0,26.067671795901333,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_1_2,Luapula,3.0,24.029473055752156,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_1_3,Luapula,4.0,24.24349263680467,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_1_4,Luapula,5.0,25.346376342408973,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_1_5,Luapula,6.0,24.786694696192814,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_1_6,Luapula,7.0,24.317279632118765,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_1_7,Luapula,8.0,28.664532089173168,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_1_8,Luapula,9.0,33.51368065337137,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_1_9,Luapula,10.0,32.23829051260969,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_1_10,Luapula,11.0,29.748399664425207,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_1_11,Luapula,12.0,26.23558953416771,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_2_0,Luapula,1.0,24.276324158919113,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_2_1,Luapula,2.0,25.934301331235243,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_2_2,Luapula,3.0,25.20125037619492,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_2_3,Luapula,4.0,24.80433380899672,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_2_4,Luapula,5.0,24.0026690691748,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_2_5,Luapula,6.0,23.265563690031712,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_2_6,Luapula,7.0,24.546243931831068,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_2_7,Luapula,8.0,27.958896876715333,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_2_8,Luapula,9.0,31.99029529762263,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_2_9,Luapula,10.0,31.342223480731153,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_2_10,Luapula,11.0,28.59410930465986,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_2_11,Luapula,12.0,26.55438916831747,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_3_0,Luapula,1.0,24.49958252648258,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_3_1,Luapula,2.0,24.779233905539765,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_3_2,Luapula,3.0,24.13346407374182,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_3_3,Luapula,4.0,23.881564550534332,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_3_4,Luapula,5.0,22.863432738106045,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_3_5,Luapula,6.0,22.068314184248297,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_3_6,Luapula,7.0,21.222634907792443,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_3_7,Luapula,8.0,25.144225868349587,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_3_8,Luapula,9.0,30.064890247761657,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_3_9,Luapula,10.0,31.869053718409443,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_3_10,Luapula,11.0,29.543064728169874,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d8_3_11,Luapula,12.0,24.643064536498223,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_0_0,Lusaka,1.0,25.61869537053635,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_0_1,Lusaka,2.0,26.50587411339815,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
